Q31	ベルギー
Q889	アフガニスタン
Q424	カンボジア
Q347	リヒテンシュタイン
Q811	ニカラグア
Q399	アルメニア
Q227	アゼルバイジャン
Q244	バルバドス
Q26988	クック諸島
Q8646	香港
Q1041	セネガル
Q27561	ボネール、シント・ユースタティウスおよびサバ
Q25279	キュラソー
Q9648	フォークランド諸島
Q16635	グアム
Q796	イラク
Q785	ジャージー
Q1013	レソト
Q1027	モーリシャス
Q792	エルサルバドル
Q212	ウクライナ
Q881	ベトナム
Q21203	アルバ
Q23408	ブーベ島
Q35086	サウスジョージア・サウスサンドウィッチ諸島
Q224	クロアチア
Q833	マレーシア
Q1029	モザンビーク
Q928	フィリピン
Q842829	スヴァールバル諸島およびヤンマイエン島
Q17063	マヨット
Q1007	ギニアビサウ
Q970	コモロ
Q695	パラオ
Q1042	セーシェル
Q25305	イギリス領ヴァージン諸島
Q953	ザンビア
Q1000	ガボン
Q774	グアテマラ
Q9676	マン島
Q5785	ケイマン諸島
Q211	ラトビア
Q4628	フェロー諸島
Q843	パキスタン
Q214	スロバキア
Q238	サンマリノ
Q730	スリナム
Q754	トリニダード・トバゴ
Q241	キューバ
Q810	ヨルダン
Q217	モルドバ
Q1036	ウガンダ
Q34020	ニウエ
Q36	ポーランド
Q836	ミャンマー
Q983	赤道ギニア
Q813	キルギス
Q403	セルビア
Q34617	サンピエール島・ミクロン島
Q574	東ティモール
Q129003	フランス領南方・南極地域
Q5689	オーランド諸島
Q16641	アメリカ領サモア
Q783	ホンジュラス
Q184	ベラルーシ
Q668	インド
Q96	メキシコ
Q145	イギリス
Q1016	リビア
Q35	デンマーク
Q1033	ナイジェリア
Q35555	ウォリス・フツナ
Q786	ドミニカ共和国
Q1019	マダガスカル
Q17054	マルティニーク
Q1009	カメルーン
Q30	アメリカ合衆国
Q929	中央アフリカ共和国
Q5813	カナリア諸島
Q126125	サン・マルタン
Q77	ウルグアイ
Q16957	ドイツ民主共和国
Q977	ジブチ
Q131198	ハード島とマクドナルド諸島
Q232	カザフスタン
Q228	アンドラ
Q115	エチオピア
Q971	コンゴ共和国
Q854	スリランカ
Q26273	シント・マールテン
Q6250	西サハラ
Q965	ブルキナファソ
Q117	ガーナ
Q33788	ニューカレドニア
Q826	モルディブ
Q29999	オランダ王国
Q817	クウェート
Q38	イタリア
Q184851	ディエゴガルシア島
Q963	ボツワナ
Q229	キプロス
Q17	日本
Q874	トルクメニスタン
Q657	チャド
Q736	エクアドル
Q790	ハイチ
Q161258	クリッパートン島
Q16644	北マリアナ諸島
Q837	ネパール
Q1246	コソボ共和国
Q408	オーストラリア
Q683	サモア
Q842	オマーン
Q79	エジプト
Q794	イラン
Q734	ガイアナ
Q924	タンザニア
Q1006	ギニア
Q27	アイルランド
Q805	イエメン
Q36704	ユーゴスラビア
Q766	ジャマイカ
Q986	エリトリア
Q954	ジンバブエ
Q865	中華民国
Q733	パラグアイ
Q712	フィジー
Q1020	マラウイ
Q265	ウズベキスタン
